transaction_id;status;recommendation;reason;timestamp
21320398;success;approve;looks_ok;2025-10-20T12:48:47.543592
21320399;success;deny;previous_chargeback;2025-10-20T12:48:47.773484
21320400;success;approve;looks_ok;2025-10-20T12:48:47.999647
21320401;success;deny;previous_chargeback;2025-10-20T12:48:48.232909
21320402;success;approve;looks_ok;2025-10-20T12:48:48.458937
21320403;success;approve;looks_ok;2025-10-20T12:48:48.685515
21320404;success;approve;looks_ok;2025-10-20T12:48:48.912894
21320405;success;deny;previous_chargeback;2025-10-20T12:48:49.139923
21320406;success;deny;previous_chargeback;2025-10-20T12:48:49.367138
21320407;success;deny;previous_chargeback;2025-10-20T12:48:49.594365
21320408;success;approve;looks_ok;2025-10-20T12:48:49.820774
21320409;success;approve;looks_ok;2025-10-20T12:48:50.046772
21320410;success;approve;looks_ok;2025-10-20T12:48:50.276887
21320411;success;deny;previous_chargeback;2025-10-20T12:48:50.504029
21320412;success;approve;looks_ok;2025-10-20T12:48:50.730048
21320413;success;approve;looks_ok;2025-10-20T12:48:50.956398
21320414;success;approve;looks_ok;2025-10-20T12:48:51.183012
21320415;success;approve;looks_ok;2025-10-20T12:48:51.409430
21320416;success;approve;looks_ok;2025-10-20T12:48:51.635656
21320417;success;approve;looks_ok;2025-10-20T12:48:51.861690
21320418;success;approve;looks_ok;2025-10-20T12:48:52.088233
21320419;success;approve;looks_ok;2025-10-20T12:48:52.313997
21320420;success;deny;high_value_rapid_tx;2025-10-20T12:48:52.545575
21320421;success;approve;looks_ok;2025-10-20T12:48:52.772007
21320422;success;approve;looks_ok;2025-10-20T12:48:52.998950
21320423;success;deny;high_value_rapid_tx;2025-10-20T12:48:53.226081
21320424;success;deny;previous_chargeback;2025-10-20T12:48:53.454137
21320425;success;approve;looks_ok;2025-10-20T12:48:53.680545
21320426;success;deny;previous_chargeback;2025-10-20T12:48:53.907512
21320427;success;approve;looks_ok;2025-10-20T12:48:54.135289
21320428;success;deny;previous_chargeback;2025-10-20T12:48:54.362407
21320429;success;approve;looks_ok;2025-10-20T12:48:54.588851
21320430;success;deny;previous_chargeback;2025-10-20T12:48:54.815450
21320431;success;approve;looks_ok;2025-10-20T12:48:55.041484
21320432;success;deny;previous_chargeback;2025-10-20T12:48:55.269096
21320433;success;approve;looks_ok;2025-10-20T12:48:55.495549
21320434;success;approve;looks_ok;2025-10-20T12:48:55.722199
21320435;success;approve;looks_ok;2025-10-20T12:48:55.948731
21320436;success;approve;looks_ok;2025-10-20T12:48:56.174832
21320437;success;approve;looks_ok;2025-10-20T12:48:56.400677
